English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
cattle disease involving diarrhoea,àrzàgá pùrò-tɛ̀w,cártêl ~ sártêl,cártòl,káttɔ̂l,,,,,,,sàl-ě:,,,,sátòlù,,,,sátèl,dùmù: kùl-[yɔ̀b-ɔ̌:],,pìjì bá:wè,,,
a disease of sheep and goats,,kɔ̀rɔ̀-pâl,,,,,kɔ̀rɔ̀-pâl,,,,àrùsɛ̀gɛ́ jìm,,,,bɛ̀lú mbe wɔ̀bù,,,,,,,,,,
cattle disease where head hangs to the side,,súŋúrⁿù,sûn,súŋúrⁿì,,,súŋúrⁿù,,,,xxx,,,,súgúlú,,,,sún,súnù:,,,,,
"animal disease (large sores on body), esp. of goats",,,láwrɛ̀,lárwà,,,láwrù,,,,kùɲú,,,,kúdú,,,,lá:rɛ̀,,,,,,
disease of livestock involving sores on the mouth and face,,pɔ̀tɔ́,,,,pɔ̀tɔ́,,,,kùɲú,,,,,náwàrɛ̀,,,,kɛ̀nɛ̀-pɔ̀dɔ̀,,,,,,
"animal disease (esp. of goats) spread by fleas, involving sores on the mouth and feet",,,xxx,xxx,,xxx,xxx,,,,kíbjí,,,,"léllèlù, kíbídú",,,,kíbzù,xxx,,,,,
disease esp. of donkeys and horses (muscles of back are taut),,,,,,,,,,,kìn-bɔ̀mɔ́,,,,kìnù bɔ̀mmɔ́,,,,,jɔ́:rŋgàl,,,,,
disease esp. of donkeys and horses (they have no appetite to eat),,,,xxx,,jánárⁿà,,,,jánárⁿá,,,,,xxx,,,,,,,,,,
"cattle disease (hairs stick out, pain in legs)",,,,ɲî:wⁿ,,,,,,,xxx,,,,káyⁿà,,,,nîwⁿ,,,,,,
fever of cattle,,,,kù:-jógî,,,,,,,nǎ: wɔ̀bù,,,,nàá mbe wɔ̀bù,,,,,,,,,,
fever of sheep and goats,kù-dègú,,,,,,,,,,bɛ̌l wɔ̀bù,,,,bɛ̀lù ùsì-ý mbe wɔ̀bù,,,,,,,,,,
disease of livestock attributed to consuming bad sorghum,,,,,,,bá:búrù,,,,,,,,,,,,,,,,,,
doctor,dɔ̀kɔ̀tɔ́rɔ̀\\-mǎ:,dɔ̀ɣɔ̀tɔ́rɔ̀-m\\dɔ̀ɣɔ̀tɔ́rɔ̀,dɔ̀gɔ̀tɔ́rɔ̀-m\\dɔ̀gɔ̀tɔ́rɔ̀,dɔ̀gɔ̀tɔ́rɔ̂,dɔ̀gɔ̀tɔ́rɔ̀,dɔ̀ɣɔ̀tɔ́rɔ̀,dɔ̀gɔ̀tɔ́rɔ̀,,,dɔ̀gɔ̀tɔ́rɔ́,dɔ̀gɔ̀tɔ́rɔ̀,,,,dɔ̀gɔ̀tɔ́rɔ́,dɔ̀gtɔ́rɔ̀,,dɔ̀gɔ̀tɔ́rɔ̀\\-mbɔ̀,dɔ̀gɔ̀tɔ́rɔ̀,dɔ̀gɔ́tɔ́rɔ̀\\-mbò,dɔ̀gɔ̀tɔ́rɔ́,dɔ̀kùtɔ́rɔ̀,,dɔ̀gɔ̀tɔ́rɔ̀,dɔ̀gɔ̀tɔ́rɔ̀
traditional healer (using herbs and spells),zòŋù-nú\\-mú,"jòŋgì-jɔ̀ŋgú-m\\-jɔ̀ŋgú, àyâ: bɔ̀ŋgɔ̀-m\\-bɔ̀ŋgɔ̀",zòŋgǔ-m\\zòŋgú,"nù jòŋí, jòŋì-jɔ̀ŋí",jòŋ-[jɔ́ŋù-nɛ̀],"jòŋí-n, jòŋ-jɔ́ŋɔ́-n",jòŋ-jɔ́ŋgɔ́-n,zòŋ-zóŋó-n,jòŋ-jɔ́ŋɔ́-n,jɔ̀ŋù-jɔ́ŋɔ́,jù-jɔ̀ŋú-nɛ́,,,,jóŋí-nɛ́,,,zònjě:\\zòŋù-mbó,zònjù,"jɔ̀ŋɔ̀-jòŋé\\jòŋú-mbó, jòŋé\\jòŋú-mbó",ndà: sàwrì-kání,jòŋgù jóŋgú,,jòŋgù-jɔ́ŋgɔ́-bò,jòŋgà:-jòŋgù
healer who uses amulets and verses to cure diseases or solve romantic problems ,,,,,,,,,,,,,,,jóŋí-nɛ́,,,,,sàrù-kàné\\-kǎ-mbó,,,,,
act of using amulets and verses (e.g. to cure a disease),,,,,,,,,,,xxx,,,,dómmírú,,,,,sàrû:,,,,,
give,ów\\ów,ní,ní,ńdí,óbò\\ób-ì,ó:,ó:,ó:,ó:,ó,óbó-\\óbú,,,,óbó,ńdɛ̀,ǹdɛ́,"ńdì (ńdí-tì-, imprt ńdá)",ńdɛ́\\ǹdà-lí,"ǹdɛ́, ǹdírɛ́",ndó (imperative ndà:),ńdɛ́,"táwò (tàyè, tàyè-rí)",tábè,tábé
hand to hand (e.g. giving sth in person to its final recipient),lɔ́∴ lɔ́ lèy,[nǎ: yá] [nǎ: yá],[nà: yá:] [nà: yà:],nǎ:-nǎ:,,nùmó∴ nùmó∴,nùwⁿó∴ nùwⁿó∴,,,[X númɔ́∴] [Y númɔ́∴],[nǒyⁿ nɛ̀] kúnɔ́,,,,númɔ́ nɛ (kúndó),,,,[nùmà náŋ] [nùmà ʔə́mó],,,nɛ́: ndò nɛ́: nà ndò,,,
"provide (e.g. jewelry, livestock, to sb)",sá:yà kárⁿú\\kárⁿá,màŋgí,,màŋí,,màŋá,,,,,,,,,"óbó, màŋá",qqq,,,,màŋgí,,,,,
"(e.g. father) set (child) up with (e.g. some start-up capital to launch a business, a goat to start a herd from)",,tǒy [X mà:] ní,xxx,tó: ńdí,,tǒy [X lè] ó:,tǒy [X lè] ó:,,,,xxx,,,,,,,,,xxx,,,,,
"provide for, take care of (sick person, woman who has just given birth)",,,,,,,,,,dúwɔ́ dùw-î:,kájúbá-\\kájúbú,,,,"háìbɛ̀ káná, gɛ̀lí-yɛ́",,,,,ká:ndɛ́,,,,,
(God) provide (e.g. health),,,,,,,,,,,óbó,,,,óbó,,,,,ká:ndɛ́,,,,,
"divide, share (sth)",hélú\\héló,"kéríyé, céríyé",kéríyé,kéríyé,gàmbìl-ɛ́:-\\gámbìl-ì-ỳ,gàmàrⁿá,gàmdá,"gàmàrⁿá, gòsó",gàmàrⁿá,gàmírⁿì\\gàmárⁿá,gàmálá-\\gàmúl,kwɛ́:,,,kábí-lɛ́,kú:lɛ̀,,gèr-í: (gèr-í:-tì-),gàmbúlɛ́\\gàmbùlà-lí,ká:ŋgí-y\\kà:ŋgì-yè,úndúyó,púrúgè,,gámbágè,wélágè
"share, do some sharing (verb plus cognate noun)",,kèrìyê: kéríyé,,kèrìyê kéríyé,,gámúrⁿú gàmàrⁿá,,,,gámúrⁿú gàmírⁿì,gámúl gàmálá,,,,gàmbí-lí-yɛ́,,,,,,,,,,
"act of sharing, act of dividing up",,kèrìyê:,,kèrìyê,gàmbùlɛ̂:,gámúrⁿú,,,,gámúrⁿú,gámúl,,,,gómbúlú,,,,,,,,,,
"distribute (things, to everyone in a group or village)",hélú\\héló,tálí,tá:ndí,táŋá-ndí,gàmbàrá\\gámbìr-ì,táná-ŋá,kúrɔ́,,,,gàmálá-\\gàmúl,,,,gàmbí-lɛ́,qqq,,gèr-í: (gèr-í:-tì-),gàmbúlɛ́\\gàmbùlà-lí,tóndá-m\\tòndà-mè,,wúlágè,,,
"take (sth) away from (sth), dispossess (sb, of sth)",ɛ́rú bá,ɛ́rɛ́,ɛ́rɛ́ zɛ́,ɛ́rɛ́,ɛ́lɛ̀\\ɛ́l-ɛ̀,ɛ́rɛ́,ɛ́rɛ́,ɛ́rɛ́,,yɔ̀wɔ́ ~ yɔ̌:,ɛ́lɛ́-\\ɛ́lɛ́,,,,ɛ́lɛ́,ɛ́lɛ̀,,"àbá (àbá-tì-), ɛ́: (ɛ́:-tì-)",ɛ́lɛ́\\élá-lì,"ɛ́lɛ́ jɛ́, ɛ́lɛ́",,wólyê:,,bɛ́l-lɛ̀,wɛ́lgɛ̀
act of taking (sth) away (from sb),,ɛ̀r-î:,ɛ̀rɛ̀-zɛ̌-ỳ,ɛ̀rî,,,,,,,él,,,,"ɛ̀lí-yé, ɛ̀lú",,,,,,,wólyéŋgé // wólyà,,,
"give back, return (sth, to sb)",bìtú\\bìtó,,bìríyé ní,"bìndé ńdí, bìndé kúrⁿí",óbò\\ób-ì,pílíwé ó:,pílíwé,,,ó,óbó-\\óbú,,,,óbó,qqq,,,,màmílí-yɛ́ ǹdɛ́,,kóndómì,,,
gather (things),bàrú\\bàrá,bàrá,bàrá,bàrá,bàlá\\bál-ì,bàrá,bàrá,bàrá,,túró,bàlá-\\bǎl,,,,"bàlá, kɛ́bɛ́",,,bǎ: (bǎ:-tì-),"bǎl\\bàlà-lí, cébó",bǎl\\bàlè,báló,kyá:gè,,bállè,bálgè
"(women) pack (e.g. clothing, utensils) in a bag or basket (for storage or travel)",,,,,,,,,,,kílɛ́,,,,bàlá kúndó,,,,,kílɛ́,,,,,
"get, obtain",bɛ̀rú\\bɛ̀rá,"bɛ̀rɛ́, nɛ́wⁿɛ́",bɛ̀rɛ́,bɛ̀rɛ́,bɛ̀lɛ́\\bɛ́l-ɛ̀,bɛ̀rɛ́,bɛ̀rɛ́,bɛ̀rɛ́,,bɛ̀rɛ́,bɛ̀lɛ́-\\bɛ̀lɛ́,,,,bɛ̀lɛ́,bɛ̀lɛ́,bɛ̀lɛ́,"bɛ̌: (bɛ̌:-dɛ̀-, neg bèyǎ-l)",bɛ̀lɛ́\\bèlà-lí,dùmɛ́,"írɛ́, gírɛ́","síyè, yɛ́:rɛ̀",,bɛ́:lɛ̀ (neg bélá:-lì),dínɛ́
be obtainable (available),bɛ̀rǔ-m\\bɛ̀rù-má,bɛ̀rɛ̀-wú,,bɛ̀rɛ́ mí ,bɛ̀lɛ̀-mɔ́\\bɛ́lì-m-ì,bɛ̀rɛ̀-wɛ́,bɛ̀rɛ̀-wɛ́,,bɛ̀rɛ̀-wɛ́,bɛ̌-m̀,xxx,,,,bɛ̀lɛ́-mɔ́,bɛ̀l-mɛ́,,bɛ̌: (bɛ̌:-bì-),,dùmí-yɛ́,,yɛ́rámì,,bèlà-mà,dìnà-mû:
act of obtaining,,,bɛ̀r-î:,,,bɛ̀r-ú,bɛ́rɛ̀,,,,bɛ̌l-∅,,,,"bɛ̀lí-yé, bɛ́lí-lé",,,,,,,yɛ́:rɛ́ŋgè // yɛ́:rà,,,
cause (sb) to obtain (sth),,bɛ̀rɛ̀-wú,,bɛ̀rɛ́-mí,,bɛ̀rɛ̀-wɛ́,,,,bɛ̌-m̀,,,,,xxx,,,,bɛ̀lɛ́-mɛ́\\bɛ̀lɛ̀-mà-lí,,,sǐ:rè,,,
"what one gets, livelihood",,bɛ̀r-î:,bɛ̀r-î:,bɛ̀rî,,bɛ̀r-ú,bɛ́rɛ̀,,,,bɛ́lɛ̀,,,,bɛ̀lɛ̀ bɛ́lɛ́,,,,,dúm-lé,,yɛ́:rà,,,
"take, appropriate (sth, perhaps illicitly)",,céwé,céwé,kéwé,yámà tɛ́bɛ̀,céwé,yɛ̀ŋgɛ́,,,bɔ̀gɔ́,tɛ́bɛ́,,,,kámmá,qqq,,cébé (cébé-tì-),tógó,jɛ̀njɛ́,,nɛ́mɛ́,,bá:lè,kɛ́:gɛ̀
"find a way to earn, eke out (money)",pó\\pó,pómdó,pípà káŋ,"pómúró, pómbúró",,pówó,,,,,pɛ́rɛ́-pɛ́rɛ́ bɛ̀lɛ́,,,,pɛ́rɛ́-pɛ́rɛ́-ni bɛ̀lɛ́,,,,,pógí,,yɛ́:rɛ̀,,,
"pick up (sth, e.g. on ground) with one's hand",só\\só,àyí,zɛ́,"àyí, ǎy",yɛ̀ŋɛ́\\yɛ́ŋ-ɛ̀,"yàŋá, á:",yɛ̀ŋgɛ́,,,ɲàŋá,gèɲɛ́,,,,"kɛ́bɛ́, jèɲɲé",yɛ̀ŋɛ́,,ɲǎ: (ɲǎ:-dɛ̀-),"tógó, zɛ̀nɛ́\\zɛ̀nà-lí",jɛ̀njɛ́,yɔ́: ~ jɔ́:,díndyê:,,dúgɛ̀,nɛ́mɛ́
take (sth) (general word),só\\só,àyí,zɛ́,"àyí, ǎy",yɛ̀ŋɛ́\\yɛ́ŋ-ɛ̀,yàŋá (Imperative yàŋá),yɛ̀ŋgɛ́,,yàŋá,,gèɲɛ́,,,,jèɲɲé,"yɛ̀ŋɛ́, jɛ̌:","jɛ̀ɛ́, yɛ̀ŋɛ́",ɲǎ: (ɲǎ:-dɛ̀-),"zɛ̀nɛ́\\zɛ̀nà-lí, tógó, tó:",jɛ́\\jɛ̀,,,,dúgɛ̀,nɛ́mɛ́
cause to take,,,,,,,,,,ɲàŋá-m̀,gèɲɛ́-mɔ́,,,,jèɲɲé-mɔ́,,,,,jǎ:-m\\jà:-mè,,,,,
"catch, take hold of (sth)",áw\\áwá,wǒ,wó,wǒ:,ágà\\ág-ì,á:,á:,á:,á:,á:,á:-\\áy,,,,áwá,úwè,,ìbé (ìbé-tì-),íbó\\ìbè-lí,ìbí\\ìbè,íwó,ímbé,,dɛ́bɛ̀,ímbé (ɲ-)
act of catching,,wǒ-ỳ,wǒ-ỳ,wó:-ndɛ́,,ǎ-y,ǎ-y,,,,à-ý,,,,pìrí-yé,,,,,,,ímbù // ímbéŋgé,,,
catch (sth thrown or falling from a height),dá\\dá,tógó,xxx,sá:,,"tógó, sá:",sá:,,,tógó,kéwé,,,,,,,"ìbé (ìbé-tì-) (sth thrown), sɛ́gírí (sɛ́gírí-tì-) (sth falling)",sɛ́:dɛ́,xxx,,,,,
"catch, trap in one or both hands (e.g. insect, so it cannot escape)",dàpú\\dàpá,[pírù gà] wó ,,pírù wǒ:,pírè\\pír-è,pírù á:,,,,pírù á:,pírù á:,,,,,jù:ré,,,pídù íbé,,,,,,
"catch, trap (e.g. insect) between one's hand and a surface, with an abrupt movement",dàpú\\dàpá,pírù káyⁿ,dɛ̀mbí,pírû wǒ:,,"pírù á:, pírù kárⁿá",pírù á:,,,á:,"pírù á:, dɛ̂ŋ á:",,,,píré,,,,pɛ́:\\pɛ́yá-lì,pír\\pìrè,dɛ́mbɔ́,,,,
trapping (e.g. between one's hand and a surface) (adverb),,pírù,,pírû,,pírù,pírù,,,,pírù,,,,pìrù-ní,,,,,,,,,,
catch (enemy) by surprise (e.g. while sleeping),zàmá kárⁿú\\kárⁿá,cɛ́mbí ~ cɛ́m\\cɛ́mbà,máɓɓà káŋ,kɛ́mbí,,cɛ́mɛ́,kɛ́mɛ́,,,,xxx,,,,píré,,,cɛ́mɛ́ (cɛ́mɛ́-tì-),,kɛ́mɛ́,,ímbé,,,
"snatch (sth, from sb)",yàsú\\yàsá,gùsó,gàsá,"gùsó, jùmóró",bórè: kán(à),gùjó,gùsó,gùsó,gùjó,á:,gùjó,,,,"ɛ́lɛ́, gùdí-yé",qqq,,ɛ́: (ɛ́:-tì-),gùzó,"háppɛ́, gàjí\\gàjè",ɛ́lɔ́,ímbé,,,
grab (sth) suddenly,gábsà kárⁿú\\kárⁿá,lěwgá àyí,gàsá,jállí,,"jàllá, jállù kárⁿá","lěw yɛ̀ŋgɛ́, jállú yɛ̀ŋgɛ́",,,gùjó,,,,,gùdí-yé,nàgálàŋ kánè,ìlì-yɛ́,gùdí (gùdí-tì-),,,,gázé,,,
"handful (of grains or other small objects, held in a cupped hand)",lɔ̀-mbùrú kà,nà:-gólòy,xxx,nà:-kóndó,,nùmò-tògójò,nùwⁿò-kòló,,,nùmɔ́ káⁿ,nòyⁿ-tògó,,,,,,,,nùmà-tògò,xxx,,,,,
"fistful, amount (e.g. of grain) held in one's clenched hand",lɔ̀-kúmù,nà:-kúmbòy,,nà:-kúmbí-yè,,nùmò-kǔm,,,,nùmɔ̀-kúmó,nòyⁿ-kùmî:,,,,,,,,,,,,,,
"handful, amount (e.g. of grain) held in one's more or less flat palm",,,,,,nùmò-sà:rú,,,,nùmɔ̀-sà:rú,,,,,,,,,,,,,,,
amount of water held in one cupped hand,kɔ̀tú,nà:-gólòy,xxx,"nà:-tògó, nà:-kóndó",,nùmò-tògójò,nùwⁿò-kòló,,,nùmɔ́ káⁿ,nòyⁿ-tògó,,,,,,,,nùmà-tògò,xxx,,,,,
"take a handful of (sth granular, e.g. grains or salt) from a container or pile",,wɔ̀ɣɔ́,xxx,wɔ̀gɔ́,sɔ̂:\\sɔ́-ɛ̀,sɔ́:,wɔ̀gɔ́,,,sɔ́:,sɔ́: xxx[chaining],,,,,,,wɔ̀gɔ́ (wɔ̀gɔ́-tì-),wɔ̀gɔ́,xxx,,,,,
amount (e.g. of millet grain spikes) taken in both hands,lɔ̀-zàkú,nà-jìgěy,zǎw,"nà:-jágì, nà:-jìgé",,"jágù, nùmò-jágù",nùwⁿò-jágù,,,nùmɔ́ káⁿ xxx[sense],nòyⁿ-kàrú xxx[sense],,,,nùmɔ̀ jìgé,,,nùmà:-zìgé,nùmà-zìgè,,,,,,
"take (quantity of meat, earth, etc.) in both hands (with palms down)",dèmǐyⁿ\\dèmìyⁿó,jìgé,zàká,jàgá,wɔ̀gɔ́\\wɔ́g-ɛ̀,jàɣá,jàgá,,,dìn-î:\\dìn-ɛ́:,bàlá,,,,"bàlá, gùdɔ́",,,zìgé (zìgé-tì-),zìgé\\zìgè-lí,ɔ̀gɛ́ bǎl\\bàlè,ɔ́njɔ́,wɔ́gɛ́,,,tálgè
amount (e.g. of earth) taken in both hands,lɔ́ lěy,,,,,,,,,,nòyⁿ-tògó,,,,nùmɔ̀ kɔ̀rɔ́ néè,,,,,,,nɛ̀: gú,,,
pick (fruit) from tree or plant,kɔ́rú\\kɔ́rɔ́,pálí,pɔ́:,kɔ́rⁿɔ́,kɔ̂:\\kɔ́-ɛ̀,pɔ́:,pálá,púlló,,pâl\\pálá,kɔ́:-\\kɔ́:,,,,kɔ́ɛ́,kɔ́nɛ̀,,púlú (púlú-tì-),kórⁿɔ́\\kórⁿá-lì,bɛ̀lɛ́,páró,kɔ́lɛ́,,párè,kɔ́lɛ́
"pick (fruits in bunches, e.g. tamarind and wild grape)",pɔ́w\\pɔ́:,pɔ́wɔ́,pɔ́:,pɔ́:,,pɔ́:,túnjúró,,pɔ́:,pâl\\pálá,kɔ́:-\\kɔ́,,,,kɔ́ɛ́,,,ùdá wòró (wòró-tì-),úzɔ́\\ùzà-lí,bɛ̀lɛ́,,kɔ́lɛ́,,,
"pick up one by one (fallen fruits, e.g. mangos)",tùr-í→ -tùr-í→  ɔ́ⁿsú\\ɔ́ⁿsɔ́,kéwé,céwé,kéwé,yɛ̀ŋɛ́\\yɛ́ŋ-ɛ̀,túró,kéwé,,,túró,kébé,,,,kɛ́bɛ́,qqq,,ɲǎ: (ɲǎ:-tì-),kébó\\kébé-lì,tógí,yɛ́njɔ́,kyá:gè,,,
"pick (half-ripe millet grains, from the grain spike after brief roasting) by hand or with pincers",súgúm\\súgúmɔ́,"sú:rⁿú, súŋúrⁿú","sú:rⁿú, súmírⁿí","súŋúrⁿí, súmúrⁿí",,súŋúrⁿó ~ sú:rⁿó,tíwⁿɛ́,,súŋúrⁿó,wɛ̀gúrù\\wɛ̀gɛ́rɛ́,súgɔ́-mɔ́,,,,súgó-mɔ́,qqq,,,súmnó\\súmnó-lì,súgám\\sùgàmè,,sùgùmà súgúmì,,,
"pick (several grains of half-ripe millet, from the grain spike after brief roasting) with a sweeping motion of the thumb",,sú:rⁿú,,súmúrⁿí,sɔ́ŋɔ̀nɔ̀\\sɔ́ŋùn-ì,súŋúrⁿó,,,,sú:rⁿù xxx[imper],súgɔ́-mɔ́,,,,súgómó,,,súmbúl (súmbúl-tì-),,,tíríyɔ́,,,,
"remove, dredge out (sediments, e.g. sand from river, sediments from cream of millete)","kúsú\\kúsó, kúsú gùŋú\\gùŋó",sání,sá:rí,sá:,póbò\\pób-è,pówó,sáná,,,pó:,"sá:-\\sáy, pémɛ́",,,,sáá,,,kúŋgó (kúŋgó-tì-),sɛ́rⁿɛ́\\sérⁿá-lì,sáy\\sàyè,,gó:mì,,,
"pick out selectively (what one wants, e.g. eating from a collective bowl)","sám\\sámá ~ sáwⁿá ~ sá:ⁿ, jɛ̀sú\\jɛ̀sá",jɔ́,zɔ́,jɔ̌:,yɛ̀mbɛ́\\yɛ́mb-ɛ̀,"sáná, sáná gɔ̌:ⁿ",,,,ɲɛ̀mɛ́,yɛ̀mɛ́-\\yɛ̀mɛ́,,,,yɛ́mbɛ́,yɛ̀mbɛ́,,yɛ̀mbí (yɛ̀mbí-tì-),yɛ̀mbɛ́\\yèmbà-lí,,nɛ̀mɛ̀ góm(ú),,,,
pull (sb) out from the water,"sám\\sámá ~ sáwⁿá ~ sá:ⁿ, sám gùŋú\\gùŋó","sán gò-ló, sání",sá:rí,,gò:-ndó,"sáná, sáná gɔ̌:ⁿ",,,,"bàjá gǔŋ̀, pó: gǔŋ̀",bìɲɛ́ gǒ:-nɔ́,,,,bìnjé gòò-ndó,,,ɲǎ: gò-ndú (gò-ndú-tì-),,jùmbɛ́ gǒ-m,,,,,
pull (sb) out (from the surface of the water),,,,"sá:-rí gò-ndó, sá:-rí",,,lɔ́gúsɔ́ gùŋgó,,,,bìɲɛ́ gǒ:-nɔ́,,,,bìnjé gòò-ndó,,,,,,,,,,
fish (sth) out from the top of the sauce,,,,"sá:-rí gò-ndó, sá:-rí",,,lɔ́gúsɔ́ gùŋgó,,,kúgùrù\\kúgɔ́rɔ́,kúgɔ́lɔ́,,,,gòò-ndó,,gòò-ndé,,,,,póbé,,,
fish (sth) out from the bottom of the sauce,,,,"sá: gò-ndó, sá:",,,"sá: gùŋgó, sáná gùŋgó",,,pó:,sɔ́nɔ́,,,,sáá,,pòbé,,,,,póbé,,,
"dredge out, take (e.g. drowned corpse) out from the bottom of the water",,,,"sá: gò-ndó, sá:",,,"sá: gùŋgó, sáná gùŋgó",,,pó: gǔŋ̀,"gǒ:-nɔ́, bìɲɛ́ gǒ:-nɔ́",,,,sáá,,,,gò-ndó\\gò-ndò-lí,sáy gǒ-m,,gó:mì,,,
fish (sth) out (from sauce),"sám\\sámá ~ sáwⁿá ~ sá:ⁿ, sám gùŋú\\gùŋó","sán gò-ló, sání",zɔ́,,,"sáná, sáná gɔ̌:ⁿ",,,,,,,,,sáá,qqq,,,gò-ndó\\gò-ndò-lí,nùgú-l gǒ-m,,póbé,,,
"extricate, carefully pick out and remove (small item in a mass)",,séwé,zɔ́ gò-ndó,séwé gò-ndó,,síré gɔ̌:ⁿ,yɛ̀mbɛ́,,,,xxx,,,,yɛ́mbɛ́,,,cɛ́mɛ́ gò-ndú,,nìgíl gǒ-m\\gò-mè,,,,,
"extract, pick out (marrow from a bone with e.g. a twig)",wɔ̀gùrú\\wɔ̀gùrɔ́,wɔ̀gùsú,,lɔ́gúsí,sɔ́ŋɔ̀nɔ̀\\sɔ́ŋùn-ì,wɛ̀gɛ̀rɛ́,,,,wɛ̀gɛ́rɛ̀,,,,,,qqq,,lɔ̀gɔ́dí (lɔ̀gɔ́dí-tì-),,,,,,ɲáŋgájè,nógólè
"receive, accept, take (sth given)",bá\\bá,àwú,ǎw,àwá,yàbá\\yáb-ì,yɔ̀wɔ́,àwá,yɔ̀wɔ́,yɔ̀wɔ́,yɔ̀wɔ́ ~ yɔ̌:,yàbá-\\yàbú,,,,yàbá,ábè,,"bɛ̌: (bɛ̌:-dɛ̀-), àbá (àbá-tì-)","ábé\\àbà-lí, ábíyɛ́\\àbìyà-lí",àbí\\àbè,áwó ~ ábó,ábé,,ʔábè,ábé (y-)
"here, take this! (imperative)",bá,àwú,"ǎw, hɔ́:ⁿ","hɔ́:ⁿ, áwâ","yábà, hɔ́ⁿ→, høⁿ→","hɔ́:ⁿ, yɔ́wɔ́","àwá, hɔ́:ⁿ",hɔ́:ⁿ,,hɔ́:ⁿ,hɔ́:ⁿ\\hɔ́:ⁿ-ỳ,,,,"hɔ́ɔ́ⁿ, hũũ, áwá, yábá, kúmbí-yó",,,"ábá, hɔ́:ⁿ","ábá, hɔ́:ⁿ","ábá, já, hɔ́:ⁿ",áwá ~ ábá,nɛ́má,,ʔàbà,ábá
accept an act of God,,,,,,,,,,,yàbá,,,,yàbá,,,,,yárrà kán\\kànè,,,,,
"shovel (verb), scoop up (grains, sand, etc.) with a shovel",tígítà kárⁿú\\kárⁿá,sɔ́,wɔ̀:rí,wɔ̀gɔ́,,sɔ́:,wɔ̀gɔ́,,,jɛ̌:,wɔ̀gɔ́-\\wɔ̀gɔ́,,,,wɔ̀gɔ́,,,wɔ̀gɔ́ (wɔ̀gɔ́-tì-),sɔ́:\\swá:-lì,ɔ̀gɛ́,,pèlè ndó wɔ́gɛ́,,,
scoop out (dirt that has accumulated in a pit),wⁿà:sú\\wⁿà:sá,wɔ̀gùrú,wɔ̀:rí,wɔ̀gírí,,wɔ̀ɣɔ̀rɔ́,wɔ̀gɔ̀rɔ́,,,wɔ̌:rì,"wɔ̀gɔ́-lɔ́, dɛ̀ŋí-l gǒ:-nɔ́",,,,dɛ̀ŋí-lɛ́,,,,,dùŋgúl\\dùŋgùlè,ɔ́ŋɔ́,kɔ́ŋgɛ́,,,
"scoop up (grains, sand, etc.) in the hand",sɔ́m\\sɔ́wⁿɔ́ ~ sɔ́:ⁿ,sɔ́,támà káŋ,wɔ̀gɔ́,,sɔ́:,wɔ̀gɔ́,,,wɔ̌:rì,wɔ̀gɔ́-\\wɔ̀gɔ́,,,,wɔ̀gɔ́,qqq,,wɔ̀gɔ́ (wɔ̀gɔ́-tì-),wɔ̀gɔ́\\wògà-lí,ɔ̀gɛ́,,wɔ́gɛ́,,,
"scoop (peanuts, cow-peas, etc.) out of water in one's hand or with a ladle or cup",sám\\sámá ~ sáwⁿá ~ sá:ⁿ,sání,sá:rí,sá:rí,,sá:,sá:,,,pó:,xxx,,,,,,,,sá:\\sá:-lì,xxx,,,,,
"gear, equipment",lìsá,nì:njɛ́,"gɔ̌n, kábɔ́rdɛ̀",gɔ̀rⁿí,gélù,nì:ɲé ~ nì:ɲɛ́,nì:ŋgɛ́,nì:sɛ́,nì:ɲé,gɛ́rⁿí:,gɛ́n,,,,"kídɛ́, génú",gélgè,,gɔ̀nɛ̌:,gòn,gǒn-gó\\gòné,gówⁿ ~ góní (usually pl gówⁿ-gé),gólígé,,gòllè,gólgé
"baggage, portable possessions",lìsá,nì:njɛ́,gɔ̌n,gɔ̀rⁿí,gélù,"nì:ɲé ~ nì:ɲɛ́, jé:n",nì:ŋgɛ́,nì:sɛ́,,gɛ́rⁿí:,gɛ́n,,,,génú,gélgè,,gɔ̀nɛ̌:,gòn,gǒn-gó\\gòné,dɔ̀:ndɛ̀ ~ dɔ̀:rɛ̀,gólígé,,gòllè,dɔ́ɛ́rɛ́
